pid,year,month,day,weight,quantity,value
P001,2021,1,30,25031,908,471337
P001,2021,2,10,19676,2856,267841
P001,2021,2,20,15828,1002,665008
P001,2021,2,30,1953,180,95982
P001,2021,3,10,9583,664,505627
P001,2021,3,20,5682,849,324937
P001,2021,3,30,37641,778,474389
P001,2021,4,10,21965,1610,311471
P001,2021,4,20,14574,215,156462
P001,2021,4,30,35679,5748,619808
P001,2021,5,10,34532,1052,327122
P001,2021,5,20,33429,4075,1147375
P001,2021,5,30,21625,1647,479879
P001,2021,6,10,6549,537,884565
P001,2021,6,20,8173,1294,189057
P001,2021,6,30,13564,257,1006984
P001,2021,7,10,37415,1319,349913
P001,2021,7,20,10585,1145,712823
P001,2021,7,30,20496,2116,425447
P001,2021,8,10,28155,4979,677137
P001,2021,8,20,23784,392,296736
P001,2021,8,30,53554,6446,588546
P001,2021,9,10,33825,316,1130353
P001,2021,9,20,13125,2854,739929
P001,2021,9,30,25533,1278,480062
P001,2021,10,10,39150,3162,613927
P001,2021,10,20,44536,1746,476417
P001,2021,10,30,16181,2878,585531
P001,2021,11,10,25462,2831,1460351
P001,2021,11,20,20576,2213,1134496
P001,2021,11,30,27602,3912,458439
P001,2021,12,10,79114,2097,424896
P001,2021,12,20,5871,949,3521104
P001,2021,12,30,56749,1438,1694039
P001,2022,1,10,23042,1384,1392978
P001,2022,1,20,44783,823,959963
P001,2022,1,30,7845,2368,202276
P001,2022,2,10,35364,4052,2056682
P001,2022,2,20,22667,2101,2343061
P001,2022,2,30,24769,1498,674901
P001,2022,3,10,34036,2663,2841734
P001,2022,3,20,17230,2836,961209
P001,2022,3,30,24914,926,815452
P001,2022,4,10,17886,7139,743029
P001,2022,4,20,27050,1594,786378
P001,2022,4,30,6379,1587,114977
P001,2022,5,10,16049,3190,920508
P001,2022,5,20,29764,311,1366059
P001,2022,5,30,55861,3758,662859
P001,2022,6,10,70175,456,5849780
P001,2022,6,20,10013,4539,263391
P001,2022,6,30,20242,547,268698
P001,2022,7,10,40357,1713,1967820
P001,2022,7,20,13264,6558,582221
P001,2022,7,30,7063,1026,436545
P001,2022,8,10,22723,3173,1784428
P001,2022,8,20,52367,229,3679659
P001,2022,8,30,27512,6043,666623
P001,2022,9,10,26687,1079,241139
P001,2022,9,20,29481,720,2322825
P001,2022,9,30,47949,4583,335117
P001,2022,10,10,10944,1571,505532
P001,2022,10,20,31339,1485,474824
P001,2022,10,30,28291,1282,382086
P001,2022,11,10,47392,568,1004846
P001,2022,11,20,26303,3249,1289189
P001,2022,11,30,33996,1680,2094839
P001,2022,12,10,101561,5146,8149833
